"","NitrousOxide","Humidity","Temperature","Pressure"
"1",0.9,72.4,76.3,29.18
"2",0.91,41.6,70.3,29.35
"3",0.96,34.3,77.1,29.24
"4",0.89,35.1,68,29.27
"5",1,10.7,79,29.78
"6",1.1,12.9,67.4,29.39
"7",1.15,8.3,66.8,29.69
"8",1.03,20.1,76.9,29.48
"9",0.77,72.2,77.7,29.09
"10",1.07,24,67.7,29.6
"11",1.07,23.2,76.8,29.38
"12",0.94,47.4,86.6,29.35
"13",1.1,31.5,76.9,29.63
"14",1.1,10.6,86.3,29.56
"15",1.1,11.2,86,29.48
"16",0.91,73.3,76.3,29.4
"17",0.87,75.4,77.9,29.28
"18",0.78,96.6,78.7,29.29
"19",0.82,107.4,86.8,29.03
"20",0.95,54.9,70.9,29.37
